vendor_id,order_hour,day_of_week,item_count,is_peak_hour,historical_delay_avg,prep_time_minutes
132,10,0,3,0,0.79,17.18
61,10,2,5,0,0.95,15.29
149,16,4,9,0,0.95,24.0
45,12,1,9,1,2.86,29.66
107,21,4,1,1,2.43,14.63
180,10,6,8,0,2.81,25.94
130,19,5,11,1,2.99,35.01
107,15,4,2,0,3.1,6.4
119,12,1,7,1,5.63,25.89
44,11,4,4,0,5.02,17.54
146,7,6,6,0,1.63,24.06
83,12,4,6,1,1.44,25.3
59,23,4,9,0,0.0,23.48
112,9,2,8,0,0.0,24.45
6,13,3,11,1,0.75,32.18
179,19,1,11,1,6.61,39.14
70,22,3,3,0,13.64,20.5
1,17,5,5,0,2.17,21.05
3,6,1,8,0,3.35,27.02
17,8,6,8,0,2.38,27.96
69,20,3,2,1,0.6,15.96
76,12,0,8,1,4.5,32.04
60,9,4,5,0,1.72,21.31
132,12,1,9,1,0.25,34.95
32,14,5,1,0,0.58,17.73
194,15,2,7,0,1.53,25.1
15,20,0,4,1,1.08,26.7
185,12,4,11,1,2.4,36.19
97,8,4,4,0,4.48,15.53
136,9,6,4,0,2.13,22.11
164,15,2,11,0,1.24,27.13
38,11,6,10,0,0.49,36.77
111,18,2,4,1,0.43,21.68
51,18,0,6,1,9.85,26.96
57,12,5,7,1,0.82,23.11
53,12,3,9,1,9.27,29.41
130,14,2,2,0,2.3,15.54
179,11,0,7,0,9.32,25.03
154,1,4,1,0,1.75,7.71
189,10,6,1,0,1.39,8.44
184,20,5,1,1,6.27,19.32
18,12,2,2,1,0.0,18.48
166,19,3,1,1,4.84,17.54
10,11,5,2,0,3.33,16.22
178,20,0,9,1,0.77,27.24
72,8,6,5,0,1.16,17.15
162,19,5,8,1,1.31,25.46
74,7,6,5,0,3.4,27.17
47,17,2,10,0,0.66,29.73
20,17,5,9,0,0.0,25.07
86,19,0,10,1,1.46,31.03
114,3,5,9,0,7.11,33.69
22,20,3,10,1,0.0,29.39
75,19,4,10,1,2.05,33.31
153,14,3,7,0,0.0,17.87
98,17,0,5,0,0.0,13.16
64,12,5,11,1,1.09,40.35
187,12,2,6,1,7.18,28.66
69,14,1,4,0,0.0,15.64
81,14,4,11,0,7.12,30.67
40,18,0,11,1,0.8,37.57
108,18,5,6,1,2.47,28.83
49,9,1,9,0,1.05,24.26
83,18,4,1,1,2.5,20.13
25,21,3,11,1,2.65,32.19
117,18,2,8,1,6.01,31.74
146,15,6,1,0,0.0,16.54
45,7,4,11,0,2.16,26.63
15,19,3,6,1,1.63,21.03
170,20,1,7,1,2.94,24.6
13,15,2,11,0,4.84,35.42
185,16,3,9,0,0.44,28.87
133,18,0,3,1,0.0,17.91
146,11,0,1,0,0.0,7.15
187,22,4,5,0,4.93,17.98
46,17,5,2,0,4.43,22.06
74,6,0,10,0,5.54,31.4
177,15,3,10,0,1.82,27.81
82,18,2,3,1,2.22,16.99
73,20,4,2,1,0.0,12.06
29,20,0,2,1,2.98,19.31
5,18,1,8,1,0.27,27.03
37,10,4,5,0,1.13,20.88
67,12,1,8,1,0.0,29.3
147,20,3,1,1,2.55,14.12
45,18,1,4,1,2.28,21.38
45,20,2,7,1,1.13,22.94
2,20,4,7,1,9.68,24.16
98,17,4,3,0,1.28,12.28
63,13,6,5,1,4.84,26.68
17,19,0,10,1,0.39,28.45
50,23,6,4,0,1.71,24.08
29,3,5,3,0,2.58,14.03
99,13,6,7,1,0.0,31.09
175,18,5,11,1,2.89,34.65
101,17,5,3,0,1.0,15.98
189,10,0,9,0,2.76,31.3
27,22,5,9,0,1.01,28.78
174,15,6,3,0,0.12,18.8
122,17,5,9,0,5.36,32.27
176,14,6,6,0,0.0,22.99
139,23,0,8,0,3.32,23.57
95,18,2,9,1,4.79,31.15
179,8,0,9,0,7.96,29.91
92,18,1,8,1,2.87,27.93
161,19,1,6,1,2.01,22.56
106,9,0,8,0,2.26,26.76
6,17,6,9,0,1.21,28.73
62,19,6,11,1,3.07,36.04
134,19,1,3,1,2.93,18.44
12,9,4,3,0,9.48,18.45
183,6,3,2,0,8.27,11.39
156,10,2,6,0,1.92,19.81
189,20,4,4,1,3.13,23.72
50,20,0,4,1,0.53,18.87
79,21,5,7,1,1.98,25.41
12,13,1,8,1,10.02,36.39
100,21,6,10,1,0.66,32.06
62,8,4,8,0,2.76,26.99
145,13,0,2,1,2.73,21.71
151,13,2,10,1,5.07,35.63
1,13,2,1,1,0.67,9.87
107,18,4,5,1,2.29,25.3
111,20,3,11,1,0.7,28.87
37,21,4,1,1,0.96,13.1
69,8,2,10,0,0.0,18.63
126,22,1,9,0,0.13,25.8
151,18,3,7,1,6.23,31.59
85,8,4,6,0,0.93,20.1
55,22,2,10,0,2.91,28.54
72,19,3,1,1,1.28,16.43
48,17,1,2,0,2.14,14.08
73,7,6,9,0,0.32,24.57
132,18,5,2,1,1.47,20.78
75,12,5,6,1,2.34,30.95
199,16,2,9,0,7.6,36.26
102,7,2,8,0,4.13,29.89
3,15,1,6,0,2.32,20.94
43,19,5,2,1,0.28,25.05
107,0,6,5,0,1.33,21.61
15,10,4,6,0,0.13,17.61
117,11,2,3,0,4.05,16.73
2,11,3,10,0,8.9,31.75
74,19,6,7,1,6.02,28.07
184,22,3,6,0,6.52,27.46
106,8,4,7,0,1.11,28.13
26,10,1,8,0,5.76,25.53
49,11,4,4,0,3.17,15.74
89,8,3,10,0,8.77,28.43
108,20,6,5,1,5.45,32.38
138,11,4,9,0,3.95,26.96
85,18,1,6,1,2.83,21.61
24,8,2,4,0,1.94,21.44
36,7,0,4,0,4.38,15.22
169,17,4,1,0,0.61,13.13
160,15,5,8,0,4.37,34.31
3,10,1,7,0,2.45,18.33
30,12,5,10,1,0.0,34.53
190,13,6,1,1,0.0,13.28
115,9,4,4,0,3.08,19.7
149,8,5,2,0,0.59,15.52
38,9,4,4,0,0.0,12.53
85,12,0,9,1,2.43,29.14
154,17,6,6,0,2.01,25.23
101,13,3,1,1,0.18,13.15
158,18,2,7,1,3.79,26.16
66,9,2,2,0,2.44,14.95
194,9,5,1,0,2.98,16.84
54,20,3,3,1,5.96,22.54
196,9,3,4,0,0.35,15.01
93,2,1,7,0,4.08,27.93
11,19,6,8,1,0.0,22.36
149,8,5,3,0,0.71,13.63
4,23,0,5,0,1.21,20.58
124,20,1,5,1,0.22,22.9
7,15,5,7,0,1.06,26.13
130,9,4,6,0,2.53,24.67
120,15,0,5,0,2.75,22.15
173,6,0,3,0,2.97,11.55
183,9,5,4,0,7.37,24.52
180,20,1,5,1,0.73,21.09
130,13,4,1,1,2.05,18.55
34,13,5,8,1,9.29,34.43
173,9,3,1,0,1.55,10.65
87,18,4,3,1,2.57,15.68
143,21,2,3,1,3.25,20.89
38,7,3,1,0,1.31,8.44
194,18,2,1,1,2.15,10.94
122,14,6,2,0,6.01,17.19
2,17,4,2,0,8.67,15.15
183,8,2,10,0,8.34,32.28
172,10,5,1,0,0.0,15.04
119,20,3,9,1,8.82,35.32
126,20,5,7,1,2.79,25.74
92,6,1,2,0,4.15,12.55
95,14,6,8,0,3.45,21.99
97,15,6,6,0,4.03,25.99
111,20,4,8,1,0.78,25.87
5,20,3,8,1,0.76,26.97
10,19,5,7,1,5.23,33.1
137,16,5,10,0,1.41,31.43
121,18,2,7,1,5.17,16.66
111,13,3,10,1,1.25,33.24
54,18,4,10,1,5.23,38.63
20,13,6,4,1,2.82,22.34
186,16,3,8,0,4.87,28.68
159,3,2,1,0,0.0,10.96
76,19,5,5,1,4.01,30.5
94,12,6,1,1,2.39,18.0
47,23,3,6,0,0.1,24.43
47,8,5,11,0,1.42,27.17
3,4,0,6,0,4.09,16.36
147,11,5,10,0,3.33,29.24
5,18,1,4,1,0.61,18.09
41,9,3,9,0,1.16,28.69
158,11,1,6,0,3.42,18.71
120,22,5,10,0,1.85,31.94
184,6,1,10,0,4.35,31.4
7,7,6,2,0,0.53,19.54
176,21,1,10,1,0.0,29.34
58,22,4,3,0,0.0,15.23
115,22,3,9,0,2.4,30.77
86,16,0,8,0,0.88,23.48
17,17,5,6,0,0.85,25.35
22,20,1,10,1,0.0,27.57
86,11,6,8,0,0.88,23.07
63,14,6,5,0,4.81,20.01
143,10,4,6,0,1.56,17.83
168,23,1,1,0,1.5,10.62
6,12,6,9,1,0.0,29.85
11,10,1,8,0,0.98,21.08
85,12,0,8,1,0.0,29.82
130,12,2,3,1,4.68,19.36
8,20,3,11,1,7.03,36.71
19,20,3,11,1,2.22,33.04
119,8,5,2,0,5.5,17.18
25,8,3,9,0,1.33,26.81
189,12,0,4,1,2.54,22.43
131,20,5,10,1,1.16,30.76
161,11,3,2,0,0.72,6.01
185,13,5,1,1,0.79,22.44
163,5,4,2,0,4.2,11.18
167,9,3,1,0,0.65,12.59
4,20,6,6,1,2.15,27.28
181,17,5,4,0,1.6,20.29
77,20,2,1,1,4.05,12.74
142,20,5,3,1,2.18,20.21
113,6,5,10,0,8.5,37.1
173,22,6,9,0,3.04,27.25
175,13,5,5,1,2.2,24.28
64,16,3,9,0,2.07,22.99
68,20,1,9,1,3.66,28.9
183,15,5,1,0,7.2,12.26
50,16,4,5,0,0.0,14.85
189,5,2,1,0,1.14,10.27
52,13,4,3,1,5.91,21.28
55,15,3,4,0,2.47,9.72
194,11,2,7,0,3.92,22.7
61,14,1,11,0,1.05,26.46
93,14,2,8,0,1.77,19.29
177,15,5,1,0,4.6,13.79
62,13,5,9,1,0.17,30.7
88,15,2,7,0,2.6,22.63
147,13,6,1,1,4.3,18.71
189,18,3,1,1,1.78,14.51
177,17,1,2,0,3.25,11.2
82,8,6,8,0,2.8,27.09
143,19,1,9,1,2.87,31.52
142,17,5,9,0,1.82,28.84
155,19,4,6,1,13.29,34.98
65,7,6,10,0,0.82,24.62
38,20,5,11,1,2.15,32.67
181,20,5,2,1,0.32,12.17
41,13,2,10,1,0.12,29.43
152,12,3,5,1,0.42,22.73
47,9,4,10,0,2.43,31.89
126,17,0,6,0,1.78,23.63
184,23,0,4,0,5.19,19.12
174,5,2,10,0,0.0,23.3
30,8,1,5,0,0.05,17.72
196,23,0,1,0,1.49,8.51
145,13,5,4,1,0.99,23.71
109,19,2,7,1,0.0,22.01
51,10,4,5,0,10.54,25.86
92,16,4,3,0,4.07,15.18
17,18,1,8,1,2.16,25.85
85,9,4,1,0,1.64,11.76
91,21,2,6,1,1.47,22.64
139,16,4,1,0,1.0,16.4
70,9,2,10,0,12.99,36.26
183,12,5,11,1,8.4,37.55
192,14,1,1,0,8.02,14.41
4,19,2,9,1,1.36,31.0
63,20,2,5,1,7.62,28.62
114,14,4,6,0,5.9,26.23
126,17,3,2,0,2.88,11.01
47,23,1,8,0,2.33,19.71
141,19,4,9,1,10.43,37.31
104,13,1,4,1,1.45,19.18
3,17,4,2,0,4.34,17.02
162,19,5,2,1,2.84,17.14
34,11,6,8,0,9.75,31.14
53,20,0,9,1,8.01,30.7
31,20,6,10,1,4.61,37.73
160,15,1,4,0,2.83,14.13
4,9,6,8,0,2.71,21.49
82,19,6,11,1,2.27,29.69
93,6,5,6,0,4.48,27.14
134,11,0,11,0,1.07,29.0
162,12,3,2,1,2.84,22.06
112,21,2,5,1,1.27,23.6
183,0,6,5,0,8.73,29.32
108,8,3,9,0,3.61,25.78
140,23,0,5,0,8.27,22.7
99,14,1,3,0,0.0,12.96
141,13,1,9,1,9.48,42.67
100,18,4,2,1,1.01,14.32
3,12,3,5,1,3.61,29.74
21,11,2,9,0,3.35,28.32
47,20,5,5,1,1.3,22.78
131,13,0,6,1,2.53,23.24
122,15,5,1,0,7.84,15.62
104,9,3,11,0,1.37,29.16
162,10,6,5,0,4.24,20.0
57,12,2,5,1,0.44,22.85
160,20,0,7,1,3.69,31.24
132,21,4,9,1,0.9,30.63
124,14,1,4,0,0.89,15.98
17,11,3,7,0,1.43,18.62
45,11,4,5,0,1.8,18.44
65,12,3,6,1,0.73,19.36
174,7,0,2,0,0.0,11.13
155,19,4,10,1,12.2,38.31
86,19,5,10,1,1.01,29.51
6,13,3,11,1,0.0,34.99
50,20,3,6,1,0.9,20.96
184,18,1,9,1,6.08,29.67
55,10,1,10,0,1.91,31.29
43,15,1,2,0,0.0,13.06
96,12,5,1,1,3.53,19.95
86,20,3,9,1,1.64,30.5
156,11,2,5,0,0.13,13.84
200,19,5,5,1,3.98,23.5
173,8,0,6,0,2.89,20.28
160,15,6,1,0,3.18,15.25
99,22,2,10,0,1.27,25.11
181,12,3,1,1,0.54,14.06
116,4,2,11,0,5.35,33.78
22,20,4,9,1,0.56,30.09
179,13,3,10,1,8.1,35.91
71,20,4,5,1,5.1,27.74
116,10,0,3,0,5.72,17.66
68,12,2,5,1,3.96,24.81
191,12,1,8,1,1.35,25.97
177,15,3,7,0,3.35,24.95
169,0,0,6,0,1.49,17.31
103,12,4,4,1,1.81,17.99
197,19,1,2,1,3.03,13.45
123,23,3,7,0,1.86,19.65
200,18,2,7,1,6.34,28.86
9,11,1,6,0,3.41,16.68
153,8,4,6,0,1.18,22.51
81,21,1,8,1,5.7,29.55
126,12,1,11,1,2.31,28.71
81,18,3,7,1,4.09,28.87
100,19,3,2,1,0.6,15.51
162,13,3,8,1,3.89,31.03
177,15,4,1,0,3.34,6.29
64,18,2,11,1,1.51,34.25
172,11,5,3,0,0.0,15.91
119,16,6,3,0,5.34,21.69
113,2,4,11,0,7.59,29.28
5,18,5,5,1,0.0,19.12
197,7,5,7,0,4.04,27.43
79,8,6,3,0,1.8,21.17
24,11,1,9,0,0.04,24.46
69,22,0,5,0,0.57,13.54
177,13,2,3,1,3.44,14.53
124,16,5,6,0,0.64,18.54
20,12,5,4,1,2.7,28.21
158,17,5,3,0,5.31,13.6
96,17,0,11,0,2.7,25.08
65,8,0,10,0,0.0,27.52
149,10,5,4,0,1.21,22.05
113,13,6,1,1,8.66,21.45
73,20,1,6,1,0.0,20.65
85,21,3,4,1,2.8,17.72
92,17,0,9,0,4.56,24.47
113,19,6,4,1,7.26,23.16
40,12,1,3,1,2.2,15.27
94,22,1,2,0,2.97,15.09
77,19,2,10,1,2.75,34.16
8,7,1,1,0,6.18,16.43
113,20,0,6,1,7.54,33.66
123,18,1,8,1,3.14,28.04
92,13,6,6,1,4.22,31.08
135,6,5,8,0,8.1,34.9
129,21,4,5,1,0.88,25.79
83,8,4,1,0,0.12,7.41
23,11,4,10,0,1.52,28.71
32,19,4,4,1,0.0,22.63
80,20,4,9,1,0.68,23.38
87,20,6,3,1,3.71,21.57
165,13,5,4,1,0.0,19.48
104,20,4,6,1,1.45,26.87
158,2,2,10,0,5.42,35.29
28,12,6,7,1,1.35,24.69
126,22,2,9,0,0.08,18.62
74,13,1,1,1,4.45,13.92
129,17,6,1,0,0.78,12.82
88,18,6,5,1,3.79,30.57
103,13,0,1,1,1.55,17.11
29,17,1,9,0,3.61,29.94
93,19,0,3,1,3.9,18.24
157,10,1,9,0,3.26,29.55
30,17,1,3,0,0.0,11.38
6,13,0,8,1,0.0,26.54
45,23,3,11,0,0.83,26.67
64,17,6,4,0,3.08,19.01
107,21,5,11,1,1.9,36.04
159,19,4,8,1,0.08,27.77
58,19,4,7,1,1.78,26.22
192,18,2,7,1,5.6,32.0
186,21,6,3,1,4.71,23.53
62,9,1,11,0,0.1,25.92
40,17,1,10,0,0.37,26.35
2,9,2,10,0,9.6,32.53
62,18,6,3,1,1.12,21.64
173,19,4,10,1,3.05,29.57
74,18,6,4,1,5.42,26.56
101,19,0,8,1,0.45,20.18
178,19,0,8,1,1.54,24.13
199,23,5,2,0,6.07,20.28
38,8,3,11,0,2.76,26.2
13,8,3,11,0,6.57,30.61
48,12,5,6,1,1.17,27.99
186,16,4,5,0,1.59,13.69
29,19,2,2,1,1.87,20.42
87,21,5,2,1,4.29,13.65
51,13,1,4,1,10.36,31.58
14,6,2,2,0,1.66,11.7
75,9,4,7,0,4.79,27.19
150,9,6,4,0,0.0,16.53
175,13,5,2,1,4.66,25.28
118,18,5,3,1,1.06,22.57
66,16,5,2,0,2.5,18.15
168,16,3,8,0,0.83,25.19
174,18,6,11,1,0.6,36.31
88,20,0,3,1,2.44,17.96
119,17,6,5,0,6.51,22.6
119,13,0,10,1,6.02,32.53
34,14,1,6,0,10.15,18.29
40,8,3,8,0,1.33,21.88
93,11,3,10,0,3.52,24.58
36,10,5,4,0,4.55,18.1
127,11,5,2,0,5.64,20.6
190,9,5,10,0,0.0,28.55
112,10,6,1,0,0.84,12.78
183,6,1,9,0,7.22,25.98
168,18,1,7,1,0.34,26.15
82,14,0,6,0,2.51,23.66
18,8,6,4,0,2.66,11.68
109,22,4,6,0,2.68,25.56
95,13,3,7,1,4.52,27.39
191,16,3,5,0,0.0,14.85
150,17,5,8,0,0.0,27.7
32,19,2,11,1,1.8,30.72
69,10,0,9,0,0.37,19.45
127,11,4,10,0,5.64,33.64
182,11,0,1,0,0.0,7.45
23,11,2,10,0,1.47,31.12
156,19,6,2,1,0.91,24.39
13,19,4,2,1,4.76,15.64
116,18,3,10,1,5.72,35.45
158,16,3,9,0,4.01,27.87
98,10,6,1,0,1.8,13.82
155,10,0,11,0,12.28,40.17
171,17,0,10,0,4.09,34.41
134,12,5,5,1,0.81,27.11
177,11,2,8,0,4.03,25.81
17,17,5,2,0,2.47,20.81
177,11,1,4,0,3.99,23.84
188,23,1,3,0,2.0,12.34
170,12,0,8,1,2.6,29.12
155,8,3,8,0,12.09,24.88
67,11,5,6,0,1.67,24.8
10,10,4,3,0,2.74,20.56
95,12,3,7,1,3.38,22.2
89,18,2,10,1,7.57,37.46
190,14,3,6,0,1.15,19.99
46,17,0,10,0,4.17,29.24
47,2,2,2,0,3.02,14.37
138,12,0,8,1,4.11,29.21
181,14,2,6,0,2.77,22.54
30,20,3,7,1,0.4,20.34
189,11,3,10,0,1.56,29.37
31,6,3,1,0,1.29,10.0
65,9,1,6,0,1.26,21.01
99,12,5,1,1,0.0,12.73
81,12,4,6,1,4.68,25.44
143,19,2,1,1,1.19,10.72
197,21,0,7,1,3.37,26.96
20,11,2,2,0,1.09,13.7
13,11,3,7,0,6.91,25.65
163,7,2,4,0,0.82,19.21
104,12,4,1,1,3.73,15.46
128,18,6,4,1,5.45,27.31
132,13,3,2,1,0.0,16.57
171,11,6,2,0,3.63,18.72
30,19,1,2,1,0.0,21.98
171,20,6,5,1,3.0,25.88
6,11,1,8,0,0.0,23.49
6,12,2,3,1,1.05,21.41
191,13,0,3,1,1.6,16.2
22,9,5,7,0,0.52,22.46
18,8,0,9,0,2.67,22.62
47,14,6,9,0,0.79,26.24
25,19,1,9,1,0.76,33.8
25,18,3,2,1,1.79,17.99
173,12,0,2,1,2.01,17.43
75,13,2,2,1,4.11,22.28
185,19,6,10,1,0.0,38.88
130,7,2,11,0,3.7,31.63
119,16,3,11,0,6.1,34.03
8,21,3,6,1,6.87,24.84
144,12,6,4,1,0.0,19.91
175,15,2,10,0,2.44,24.84
29,9,5,4,0,1.7,18.16
182,5,4,3,0,0.0,15.22
100,20,3,4,1,1.2,22.23
148,18,3,2,1,1.0,16.26
165,7,3,2,0,0.23,10.36
68,22,5,3,0,5.91,20.71
181,19,2,4,1,3.36,19.36
96,20,5,7,1,2.23,31.23
119,8,6,10,0,5.02,32.49
92,10,6,5,0,2.98,24.07
108,7,2,8,0,4.91,25.67
105,17,6,5,0,5.98,25.51
107,8,1,10,0,0.0,31.08
90,1,0,2,0,1.86,16.59
179,16,5,11,0,9.45,38.44
15,20,3,4,1,0.61,26.51
78,20,5,2,1,0.06,19.03
36,23,5,4,0,3.37,22.68
148,21,2,7,1,2.75,23.65
198,18,0,7,1,4.85,28.66
44,21,5,2,1,7.88,23.25
123,12,2,1,1,0.0,12.7
32,20,2,4,1,1.17,26.66
153,13,1,5,1,0.0,17.59
172,8,2,7,0,0.02,21.44
16,23,5,3,0,0.05,18.98
81,14,3,6,0,7.63,26.5
188,8,2,4,0,3.47,20.09
19,18,4,11,1,1.24,27.92
86,11,3,8,0,3.73,23.09
20,17,6,3,0,2.21,24.28
154,12,2,6,1,0.26,23.12
116,12,1,1,1,6.19,17.91
175,12,2,7,1,1.74,26.18
110,12,2,5,1,1.97,24.74
13,19,5,6,1,6.58,25.97
49,18,1,11,1,3.19,28.87
28,16,0,10,0,2.03,31.44
14,9,5,1,0,1.03,12.93
47,17,5,4,0,0.15,11.08
7,17,1,1,0,0.1,6.29
125,8,2,4,0,0.0,13.69
4,18,2,6,1,2.82,23.11
189,16,4,8,0,2.44,28.28
27,16,0,2,0,1.73,13.31
165,7,5,10,0,0.56,18.87
22,14,3,4,0,0.0,17.9
1,12,1,7,1,0.43,20.46
152,13,4,2,1,1.5,17.72
33,9,3,6,0,0.0,22.26
76,19,0,11,1,3.75,31.79
117,8,1,3,0,4.7,12.63
186,13,2,10,1,1.87,29.56
98,19,5,2,1,2.11,24.02
185,1,2,7,0,0.0,22.12
9,3,5,5,0,4.16,24.07
74,15,1,7,0,3.85,22.67
92,11,2,6,0,4.78,21.15
67,12,6,10,1,0.48,27.57
45,16,4,3,0,1.06,17.21
71,8,5,2,0,4.62,13.32
1,12,5,8,1,0.96,27.59
188,8,5,9,0,3.54,31.94
190,12,5,2,1,0.0,17.83
56,13,6,9,1,7.29,34.95
46,23,2,10,0,4.79,31.35
94,14,4,9,0,2.61,24.44
45,14,6,2,0,2.37,19.57
53,18,5,6,1,8.34,36.94
171,22,6,8,0,2.8,30.1
92,18,0,3,1,2.99,18.33
37,18,1,3,1,3.06,18.66
54,6,3,3,0,5.76,16.58
85,13,4,9,1,0.0,24.13
87,14,6,11,0,2.67,29.98
103,16,4,2,0,0.95,7.25
91,11,0,5,0,1.76,19.17
112,8,0,7,0,1.12,20.6
28,15,0,10,0,2.17,26.83
38,8,2,2,0,0.0,11.41
116,13,4,3,1,6.11,19.92
126,16,0,2,0,2.85,15.05
182,21,0,10,1,0.0,26.42
183,13,0,6,1,7.07,29.5
39,18,1,9,1,2.76,26.98
73,17,3,8,0,1.09,24.97
16,12,0,4,1,1.6,25.33
111,18,4,4,1,1.68,17.48
110,6,5,5,0,0.0,16.32
73,19,1,6,1,0.0,23.46
85,21,5,10,1,1.81,36.74
178,12,6,1,1,3.4,16.44
195,12,1,11,1,2.53,34.79
59,0,5,8,0,0.62,26.94
35,20,0,3,1,9.99,25.12
144,14,2,8,0,1.25,21.0
17,12,4,7,1,1.5,25.89
152,8,5,9,0,0.97,26.17
127,8,1,3,0,4.28,16.07
103,19,2,4,1,2.08,19.75
109,18,6,8,1,0.0,32.85
104,20,0,11,1,2.07,31.9
123,20,4,1,1,1.75,12.52
127,14,4,3,0,4.52,17.51
191,18,4,1,1,0.0,12.98
79,7,2,2,0,0.0,13.98
47,20,1,8,1,1.18,30.25
116,15,0,2,0,4.71,10.95
98,9,6,7,0,4.91,33.46
136,13,1,1,1,2.25,15.07
84,13,4,6,1,0.71,22.44
113,9,1,7,0,8.04,31.18
134,12,0,5,1,2.35,16.73
170,10,0,11,0,1.97,30.74
110,20,6,1,1,1.0,13.25
125,12,2,11,1,2.24,34.23
188,23,1,7,0,1.59,24.51
184,19,4,1,1,8.2,17.76
79,19,5,3,1,1.37,17.51
71,14,1,7,0,3.63,25.61
49,20,2,5,1,3.51,23.09
42,11,2,6,0,3.05,19.44
65,22,0,8,0,0.0,22.88
185,11,2,6,0,1.15,24.68
158,6,6,10,0,3.26,27.26
110,21,2,8,1,0.0,20.89
114,10,3,5,0,4.15,20.16
21,20,3,11,1,4.41,36.83
171,1,2,7,0,3.45,23.75
162,12,3,7,1,4.64,28.89
81,14,5,6,0,6.76,29.93
58,7,1,6,0,0.15,18.62
135,11,2,10,0,9.49,35.82
185,18,1,7,1,0.92,29.6
78,14,2,3,0,0.0,12.41
151,19,1,2,1,9.06,25.69
10,9,1,4,0,2.12,17.63
115,11,1,3,0,4.19,21.36
15,19,3,1,1,0.47,9.86
127,8,6,9,0,4.0,32.94
101,12,4,6,1,0.31,17.63
97,7,4,9,0,2.21,25.1
137,12,0,5,1,4.07,29.56
85,16,6,8,0,0.19,28.24
17,12,0,4,1,2.04,19.56
79,14,3,5,0,3.28,18.91
177,13,4,3,1,4.22,19.87
161,13,6,3,1,2.53,20.47
52,19,5,7,1,5.04,22.74
54,13,0,9,1,8.43,31.07
157,14,5,4,0,3.94,18.24
90,17,0,10,0,1.84,26.38
68,18,2,2,1,3.98,12.21
44,15,5,8,0,8.34,34.46
48,0,1,10,0,3.16,29.6
84,20,5,3,1,2.11,22.58
78,16,1,6,0,0.0,18.77
180,19,5,5,1,0.0,17.75
6,10,4,11,0,0.28,25.96
143,13,1,5,1,2.37,28.72
93,11,1,5,0,4.97,21.99
106,18,2,7,1,0.91,26.58
169,19,0,1,1,0.7,15.85
103,17,4,2,0,2.59,8.92
197,8,3,1,0,3.05,13.68
11,17,6,9,0,0.0,24.71
10,19,3,10,1,5.61,31.36
86,16,1,7,0,0.93,23.84
154,18,5,6,1,2.62,24.48
145,17,5,8,0,2.19,22.84
70,17,5,7,0,10.3,28.42
57,14,3,10,0,0.3,22.0
32,23,0,11,0,0.12,31.85
87,8,6,8,0,3.69,24.96
179,16,5,2,0,7.04,15.66
172,11,6,4,0,0.76,26.48
89,11,2,2,0,5.4,6.86
54,9,3,8,0,5.81,25.87
112,17,5,6,0,0.0,17.61
123,8,6,2,0,2.52,10.97
135,21,3,7,1,10.05,32.61
141,17,1,4,0,8.9,22.38
106,14,6,8,0,0.0,22.56
85,12,3,11,1,1.43,35.2
